time,transactions,batch_throughput_TPS,avg_tx_duration_ms
1692, 100, 28.40, 35.23
1695, 100, 28.81, 34.77
1698, 100, 28.57, 35.03
1702, 100, 28.57, 35.04
1705, 100, 28.73, 34.84
1709, 100, 28.57, 35.07
1713, 100, 28.08, 35.62
1716, 100, 28.08, 35.61
1720, 100, 28.65, 34.96
1723, 100, 28.57, 35.08
1727, 100, 28.81, 34.75
1730, 100, 28.40, 35.29
1734, 100, 29.15, 34.31
1737, 100, 28.65, 34.95
1741, 100, 28.98, 34.51
1744, 100, 28.16, 35.56
1748, 100, 28.32, 35.31
1751, 100, 28.24, 35.41
1755, 100, 28.24, 35.43
1758, 100, 28.90, 34.64
1762, 100, 28.73, 34.81
1765, 100, 28.57, 35.04
1769, 100, 28.90, 34.69
1772, 100, 28.57, 35.09
1776, 100, 28.57, 35.03
1779, 100, 28.08, 35.67
1783, 100, 28.57, 35.05
1786, 100, 28.90, 34.69
1790, 100, 28.57, 35.02
1793, 100, 28.49, 35.12
1797, 100, 28.24, 35.44
1800, 100, 28.40, 35.21
1804, 100, 29.06, 34.41
1807, 100, 28.73, 34.84
1811, 100, 28.08, 35.66
1814, 100, 28.73, 34.89
1818, 100, 28.73, 34.87
1821, 100, 28.49, 35.19
1825, 100, 28.65, 34.97
1828, 100, 28.40, 35.25
1832, 100, 28.40, 35.22
1836, 100, 28.49, 35.13
1839, 100, 28.90, 34.64
1842, 100, 28.90, 34.63
1846, 100, 28.73, 34.87
1849, 100, 28.81, 34.73
1853, 100, 28.40, 35.21
1856, 100, 28.90, 34.60
1860, 100, 28.73, 34.89
1863, 100, 28.49, 35.12
1867, 100, 28.81, 34.74
1870, 100, 28.73, 34.85
1874, 100, 28.98, 34.55
1877, 100, 28.16, 35.50
1881, 100, 28.81, 34.73
1884, 100, 28.90, 34.63
1888, 100, 28.65, 34.97
1891, 100, 28.98, 34.51
1895, 100, 29.06, 34.49
1898, 100, 28.73, 34.80
1902, 100, 28.90, 34.65
1905, 100, 28.81, 34.70
1909, 100, 28.90, 34.65
1912, 100, 28.81, 34.71
1916, 100, 28.49, 35.19
1919, 100, 28.40, 35.23
1923, 100, 28.81, 34.78
1926, 100, 28.57, 35.09
1930, 100, 29.23, 34.26
1933, 100, 28.73, 34.83
1937, 100, 28.65, 34.93
1940, 100, 28.57, 35.06
1944, 100, 28.98, 34.56
1947, 100, 28.40, 35.24
1951, 100, 28.57, 35.04
1954, 100, 28.73, 34.82
1958, 100, 28.57, 35.00
1961, 100, 28.24, 35.40
1965, 100, 28.40, 35.26
1968, 100, 28.73, 34.83
1972, 100, 28.98, 34.55
1975, 100, 28.32, 35.35
1979, 100, 28.57, 35.04
1982, 100, 28.98, 34.57
1986, 100, 28.73, 34.83
1989, 100, 29.06, 34.43
1993, 100, 28.08, 35.65
1996, 100, 28.49, 35.14
2000, 100, 28.98, 34.55
2003, 100, 28.40, 35.29
2007, 100, 29.23, 34.28
2010, 100, 28.65, 34.98
2014, 100, 28.73, 34.83
2017, 100, 28.90, 34.66
2021, 100, 26.31, 38.08
2025, 100, 23.80, 42.01
2029, 100, 24.93, 40.13
2033, 100, 28.16, 35.56
2036, 100, 29.15, 34.39
2040, 100, 28.65, 34.94
2043, 100, 28.90, 34.68
2047, 100, 28.90, 34.62
2050, 100, 29.15, 34.34
2054, 100, 28.81, 34.72
2057, 100, 28.98, 34.50
2060, 100, 28.49, 35.13
