time,transactions,batch_throughput_TPS,avg_tx_duration_ms
2006, 100, 30.30, 33.01
2009, 100, 30.39, 32.93
2013, 100, 28.49, 35.18
2016, 100, 30.39, 32.94
2019, 100, 30.48, 32.86
2023, 100, 29.49, 33.94
2026, 100, 30.76, 32.51
2029, 100, 29.94, 33.43
2033, 100, 28.01, 35.70
2036, 100, 29.41, 34.07
2040, 100, 28.73, 34.81
2043, 100, 29.58, 33.80
2047, 100, 29.58, 33.85
2050, 100, 29.85, 33.56
2054, 100, 28.65, 34.93
2057, 100, 30.12, 33.27
2060, 100, 28.98, 34.55
2064, 100, 31.05, 32.23
2067, 100, 29.41, 34.03
2070, 100, 30.67, 32.69
2074, 100, 30.39, 32.94
2077, 100, 29.49, 33.98
2080, 100, 30.95, 32.36
2084, 100, 30.58, 32.79
2087, 100, 29.49, 33.99
2090, 100, 30.48, 32.88
2094, 100, 28.01, 35.73
2097, 100, 28.40, 35.25
2101, 100, 31.05, 32.29
2104, 100, 31.05, 32.26
2107, 100, 30.39, 32.95
2110, 100, 29.94, 33.45
2114, 100, 30.95, 32.34
2117, 100, 30.30, 33.07
2120, 100, 30.76, 32.55
2124, 100, 29.06, 34.44
2127, 100, 30.03, 33.39
2130, 100, 31.44, 31.88
2134, 100, 30.30, 33.02
2137, 100, 30.12, 33.23
2140, 100, 30.76, 32.57
2143, 100, 30.30, 33.05
2147, 100, 29.76, 33.68
2150, 100, 30.48, 32.83
2153, 100, 30.58, 32.76
2157, 100, 30.12, 33.27
2160, 100, 30.95, 32.39
2163, 100, 30.30, 33.03
2167, 100, 29.49, 33.94
2170, 100, 30.58, 32.79
2173, 100, 30.30, 33.05
2177, 100, 30.76, 32.59
2180, 100, 30.39, 32.93
2183, 100, 29.85, 33.54
2186, 100, 30.48, 32.81
2190, 100, 30.39, 32.93
2193, 100, 30.58, 32.75
2196, 100, 30.03, 33.31
2200, 100, 31.05, 32.26
2203, 100, 29.41, 34.04
2206, 100, 31.05, 32.26
2210, 100, 30.12, 33.25
2213, 100, 29.58, 33.84
2216, 100, 30.76, 32.50
2220, 100, 29.94, 33.42
2223, 100, 30.30, 33.08
2226, 100, 30.58, 32.77
2230, 100, 30.12, 33.21
2233, 100, 30.21, 33.18
2236, 100, 29.94, 33.49
2239, 100, 30.86, 32.46
2243, 100, 29.06, 34.45
2246, 100, 30.21, 33.14
2249, 100, 31.05, 32.26
2253, 100, 30.12, 33.23
2256, 100, 30.67, 32.67
2259, 100, 30.58, 32.74
2263, 100, 30.21, 33.18
2266, 100, 30.30, 33.03
2269, 100, 30.67, 32.60
2273, 100, 29.94, 33.44
2276, 100, 29.76, 33.62
2280, 100, 28.32, 35.32
2283, 100, 30.21, 33.15
2286, 100, 29.85, 33.51
2289, 100, 30.76, 32.57
2293, 100, 29.85, 33.53
2296, 100, 30.48, 32.87
2299, 100, 30.58, 32.73
2303, 100, 29.15, 34.36
2306, 100, 29.58, 33.80
2309, 100, 30.86, 32.44
2313, 100, 30.03, 33.36
2316, 100, 30.30, 33.06
2319, 100, 30.95, 32.31
2323, 100, 29.94, 33.45
2326, 100, 30.12, 33.27
2329, 100, 30.03, 33.36
2333, 100, 28.98, 34.52
2336, 100, 30.39, 32.90
2339, 100, 30.95, 32.31
2343, 100, 29.58, 33.80
2346, 100, 29.94, 33.42
2349, 100, 29.85, 33.51
2353, 100, 28.65, 34.93
2356, 100, 29.49, 33.90
2360, 100, 30.30, 33.08
2363, 100, 30.58, 32.72
2366, 100, 30.48, 32.87
2370, 100, 30.12, 33.20
2373, 100, 30.67, 32.69
2376, 100, 30.12, 33.22
2379, 100, 30.58, 32.70
2383, 100, 29.76, 33.68
2386, 100, 30.39, 32.90
2389, 100, 30.86, 32.40
2393, 100, 30.30, 33.04
2396, 100, 27.62, 36.22
2400, 100, 30.86, 32.40
2403, 100, 30.67, 32.68
2406, 100, 30.39, 32.92
2410, 100, 29.49, 33.98
2413, 100, 30.67, 32.61
2416, 100, 30.39, 32.93
2419, 100, 31.54, 31.78
2423, 100, 29.32, 34.19
2426, 100, 30.86, 32.47
2429, 100, 30.48, 32.85
2433, 100, 30.21, 33.11
2436, 100, 29.41, 34.02
2440, 100, 27.54, 36.32
2443, 100, 30.76, 32.50
2446, 100, 30.30, 33.06
2449, 100, 30.58, 32.74
2453, 100, 30.86, 32.49
2456, 100, 30.48, 32.83
2459, 100, 30.67, 32.69
2463, 100, 30.48, 32.86
2466, 100, 30.95, 32.31
2469, 100, 31.05, 32.22
2472, 100, 29.76, 33.61
2476, 100, 31.15, 32.18
2479, 100, 31.34, 31.92
2482, 100, 30.48, 32.82
2485, 100, 31.34, 31.96
2515, 100, 3.39, 294.68
2518, 100, 29.15, 34.36
2521, 100, 31.34, 31.92
2525, 100, 30.76, 32.52
2528, 100, 30.67, 32.66
2531, 100, 30.86, 32.46
2534, 100, 30.58, 32.74
2538, 100, 31.15, 32.10
2575, 100, 2.69, 370.75
2578, 100, 30.12, 33.21
2581, 100, 30.76, 32.54
2585, 100, 30.39, 32.94
2588, 100, 30.58, 32.78
2591, 100, 30.67, 32.65
2594, 100, 31.15, 32.15
2598, 100, 30.58, 32.72
2635, 100, 2.69, 370.87
2638, 100, 29.49, 33.94
2641, 100, 30.67, 32.63
2645, 100, 31.25, 32.05
2648, 100, 30.03, 33.32
2652, 100, 28.01, 35.70
2655, 100, 30.76, 32.57
2695, 100, 2.50, 398.61
2698, 100, 30.21, 33.14
2701, 100, 30.86, 32.47
2705, 100, 30.67, 32.60
2708, 100, 30.30, 33.01
2711, 100, 30.76, 32.57
2714, 100, 31.05, 32.23
2718, 100, 30.48, 32.88
2755, 100, 2.69, 370.82
2758, 100, 26.95, 37.13
2762, 100, 30.67, 32.61
2765, 100, 30.86, 32.40
2768, 100, 30.48, 32.85
2772, 100, 30.86, 32.40
2775, 100, 30.30, 33.01
2778, 100, 30.58, 32.75
2815, 100, 2.70, 369.74
2818, 100, 30.48, 32.84
2822, 100, 30.76, 32.57
2825, 100, 31.15, 32.13
2828, 100, 30.67, 32.69
2831, 100, 30.58, 32.77
2835, 100, 30.58, 32.72
2838, 100, 30.48, 32.86
2923, 100, 1.18, 845.25
2926, 100, 28.98, 34.55
2929, 100, 31.15, 32.19
2932, 100, 30.58, 32.75
2936, 100, 30.76, 32.59
2939, 100, 30.86, 32.45
2942, 100, 31.15, 32.13
2946, 100, 30.58, 32.78
2949, 100, 30.76, 32.50
2952, 100, 30.95, 32.35
2955, 100, 30.21, 33.13
2958, 100, 31.64, 31.67
2962, 100, 31.34, 31.93
2995, 100, 3.02, 330.90
2998, 100, 29.58, 33.81
3001, 100, 30.86, 32.47
3005, 100, 31.05, 32.26
3008, 100, 30.39, 32.90
3011, 100, 30.86, 32.46
3015, 100, 30.21, 33.18
3018, 100, 30.86, 32.47
3055, 100, 2.70, 370.12
3058, 100, 30.03, 33.37
3061, 100, 31.25, 32.09
3065, 100, 31.15, 32.18
3068, 100, 30.67, 32.60
3071, 100, 30.86, 32.47
3074, 100, 30.86, 32.44
3078, 100, 25.77, 38.80
3115, 100, 2.73, 365.80
3118, 100, 30.12, 33.27
3121, 100, 31.25, 32.00
3125, 100, 30.76, 32.57
3128, 100, 30.21, 33.15
3131, 100, 30.95, 32.36
3134, 100, 31.34, 31.97
3138, 100, 30.67, 32.62
3175, 100, 2.69, 371.15
3178, 100, 30.95, 32.38
3181, 100, 31.34, 31.90
3185, 100, 28.24, 35.46
3188, 100, 29.06, 34.46
3191, 100, 31.05, 32.21
3195, 100, 30.95, 32.39
3198, 100, 31.05, 32.24
3228, 100, 3.30, 302.81
3232, 100, 29.67, 33.79
3235, 100, 31.15, 32.14
3238, 100, 30.76, 32.58
3241, 100, 30.67, 32.62
3245, 100, 30.67, 32.65
3248, 100, 31.25, 32.08
3251, 100, 30.48, 32.87
3254, 100, 31.15, 32.11
3258, 100, 30.86, 32.45
3261, 100, 30.76, 32.50
