Transaction Number,Success (0=success),Latency (ms),CPU Utilization (%),Timestamp
2184,success,289.391206000,34,2025-01-13 12:23:01
2185,success,319.965457000,21,2025-01-13 12:23:02
2186,success,295.866980000,15,2025-01-13 12:23:02
2187,success,298.299484000,18,2025-01-13 12:23:03
2188,success,287.482740000,33,2025-01-13 12:23:03
2189,success,294.182245000,24,2025-01-13 12:23:04
2190,success,325.780941000,42,2025-01-13 12:23:04
2191,success,326.168729000,35,2025-01-13 12:23:05
2192,success,403.060179000,44,2025-01-13 12:23:05
2193,success,303.439699000,23,2025-01-13 12:23:06
2194,success,287.095415000,26,2025-01-13 12:23:06
2195,success,291.447990000,11,2025-01-13 12:23:07
2196,success,306.773247000,34,2025-01-13 12:23:07
2197,success,305.422457000,25,2025-01-13 12:23:08
2198,success,299.475771000,22,2025-01-13 12:23:08
2199,success,303.668394000,12,2025-01-13 12:23:09
2200,success,303.099547000,31,2025-01-13 12:23:09
2201,success,343.156314000,17,2025-01-13 12:23:10
